id,title,description,priority,status,assetId,createdAt
57,SLA test,Should alert soon,CRITICAL,IN_PROGRESS,,2025-09-13T03:45:36.020Z
56,test on 09/12/25 at 11:37pm,test sprint 6 code change,HIGH,IN_PROGRESS,,2025-09-13T03:38:21.702Z
55,Test incident response app,We still need to make some css style layout and make sure the app is performing as intended.,LOW,OPEN,,2025-09-11T04:47:19.135Z
54,Water Main Break,Street is flooding due to water main break,CRITICAL,IN_PROGRESS,49,2025-09-08T07:47:47.968Z
53,Main break on Columbia Road,Major pipe main break at Columbia Road near intersection off Patuxent HWY,CRITICAL,RESOLVED,50,2025-09-06T01:10:32.739Z
52,Major Main Break on 6740 10th Street,Need all fire department to respond this major incident ASAP.,CRITICAL,RESOLVED,45,2025-09-06T23:48:18.915Z
51,Hydrant leak on 5th Ave,There's a broken fire hydrant water leak on 5th Ave between Northwest Street and Cedar Road.,HIGH,IN_PROGRESS,48,2025-09-06T22:59:49.387Z
50,Water main break at Krajcik Lake Port Phyllis,Solus vos aegre cibus atrox verumtamen suscipio sunt virtus. Alter vulgo tibi basium vero corrupti valde. Cupiditas culpa speciosus.,CRITICAL,OPEN,48,2025-09-06T18:08:24.935Z
49,Sensor outage at Conn Valleys Port Joannie,Autus abutor velut attonbitus. Aeternus textus unde itaque caveo charisma suggero sortitus causa.,LOW,IN_PROGRESS,49,2025-09-06T18:08:24.935Z
48,Sensor outage at Mulberry Street Evertworth,Praesentium voluntarius ultio audax audacia suasoria praesentium tripudio itaque spiritus.,CRITICAL,IN_PROGRESS,39,2025-09-06T18:08:24.935Z
47,Hydrant repair at Cremin Oval New Vallieworth,Est substantia ambulo calculus capto. Bonus vacuus calculus vociferor torrens.,HIGH,OPEN,,2025-09-06T18:08:24.935Z
46,Pump maintenance at Lee Street South Skylarside,Corroboro tyrannus acervus usitas speculum. Somniculosus cervus nobis corrupti beatae strues occaecati.,MEDIUM,OPEN,18,2025-09-06T18:08:24.935Z
45,Valve service at Grady Trafficway Owensboro,Beatae amitto advoco.,CRITICAL,IN_PROGRESS,14,2025-09-06T18:08:24.935Z
44,Road closure at Main Palatine,Sollers tabesco currus xiphias veniam.,LOW,RESOLVED,,2025-09-06T18:08:24.935Z
43,Pump maintenance at Eusebio Grove South Eduardo,Patior urbs decimus.,CRITICAL,OPEN,18,2025-09-06T18:08:24.935Z
